Id	Sound	Text	Duration
105100104	100001	脱发是一种怎样的体验？其实七实也想体验一下呢~！	5000
105100105	100001	你想的话，那我就稍微变强一些吧。	6000
105100106	100001	总觉得和你在一起，我好像也变成人类了呢……	2000
105100107	100001	在七实面前不存在敌人哦。	3000
105100108	100001	好羡慕你们人类可以吃东西呀，我也想尝尝那个叫草莓的水果是什么味道！	4000
105100109	100001	人类真的是很奇妙呢~要是可以的话真想好好研究研究你呢~	5000
105100110	100001	七实呢，或许会有一天突然就不见了说不定，所以，请你一定要记得我。	6000
105100301	100001	指挥官来啦！马上就可以开工啦！	2000
105100302	100001	指挥官，工作时间请不要偷懒哦？	3000
105100303	100001	在灰鸦小队里能发现很多神奇的事呢！七实很喜欢灰鸦小队！	4000
105100304	100001	我们的默契程度挺高嘛~	5000
105100305	100001	人类总说求而不得才是最好的，你也这么认为吗？	6000
105100306	100001	不要总是在七实面前进食嘛！好想吃……	2000
105100307	100001	说来也奇怪，好像对人类的好奇与向往，最终都停留在了你的身上。	3000
105100308	100001	人类好像都很热衷于提高感情的亲密度？	4000
105100309	100001	我想，有的感情可能是没有上限的~	5000
105100310	100001	我会为了有一天能够真正触碰到你而努力的。	6000
107100101	100001	无论是人类也好，构造体也罢，对手和目标是活下去的唯一准则，而战斗，则是唯一方法。	2000
107100102	100001	我不在意领导我的是谁，只要能战斗就好。	3000
107100103	100001	我会比露西亚还要强，你说是吧？	4000
107100104	100001	早早把日程安排好。	5000
107100105	100001	……这个小队呆久了感觉会变傻。	6000
107100106	100001	不管多强大的武器我都能驾驭，不需要这么小心翼翼	2000
107100107	100001	这才战斗多久就喊累？算了，你去休息吧，剩下的我自己来。	3000
107100108	100001	想让我更厉害？那就让我战斗吧。	4000
107100109	100001	我是为了我自己，才不是为了和你搞好关系……	5000
107100110	100001	怎么才过来？下次再这样我就不等你了。	6000
107100201	100001	要不是任务要求，我才没空陪你在这里唧唧歪歪。	2000
107100202	100001	我会找到除了战斗以外，更加意义重大的事物吗？	3000
107100203	100001	嗯……你可以不用对我这么好的。	4000
107100204	100001	有这个时间偷懒，还不如多打几个感染体！	5000
107100205	100001	这是你要求我的，我才没有这么想留在你身边……	6000
107100206	100001	你这是想尝尝手炮的滋味吗？	2000
107100207	100001	为什么讨厌露西亚？因为她很强……不，什么都没有！	3000
107100208	100001	和露西亚比起来，我才更适合站在你身边吧！	4000
107100209	100001	我、我会尝试分点儿心思给你的……	5000
107100210	100001	我还是第一次……和人类走的这么近……	6000
107100301	100001	你带领的队伍都是这样傻兮兮的吗？	2000
107100302	100001	嗯，让我看看战斗力加强没有。	3000
107100303	100001	你在发什么呆啊？	4000
107100304	100001	大多数人都和你一样，早上都是混过去的吧。	5000
107100305	100001	我只是为了更好的战斗罢了。	6000
107100306	100001	你这是在讨好我吗？	2000
107100307	100001	这样的关系……我不会再跟第二个人类创造了……	3000
107100308	100001	比战斗更有意义的事情……你、你会给我的提示的吧！	4000
107100309	100001	我会变得更强大，让你觉得我在你身边是理所应当的。	5000
107100310	100001	不知道在你心里，我是什么位置呢？	6000
106100101	100001	听七实说，很早以前人类会用热血笨蛋这样的词来形容像我，真的吗？	2000
106100102	100001	我是神威，今后请多指教了啊，指挥官！	3000
106100103	100001	我也不是只知道战斗，但战斗才是我们的工作，露西亚不也是这样吗？	4000
106100104	100001	哈~你来啦！走走走，一起大显身手！	5000
106100105	100001	人类对于回忆是什么样的感觉呢？我没有回忆，所以不知道呢……	6000
106100106	100001	人类可以做梦，那你会梦见我吗？	2000
106100107	100001	嘿嘿，没什么，就是想对你笑一下。	3000
106100108	100001	一想到能和你并肩战斗，我就觉得浑身都充满了力量~	4000
106100109	100001	指挥官——什么时候再带我去出任务啊——！	5000
106100110	100001	以后也请多多关照！	6000
106100301	100001	今天也很有精神嘛！	2000
106100302	100001	你有好好吃饭吗？等会儿如果饿了我们可没有东西给你吃。	3000
106100303	100001	你是我见过的最奇特的指挥官……不过我不讨厌，嘿嘿~	4000
106100304	100001	我变了很多吗？只要是为了你，我愿意做出任何的改变。	5000
106100305	100001	收复地球之后我要干些什么？反正能在你身边就行！	6000
106100306	100001	我现在的战斗力不输里和渡边，所以请把重要的任务放心交给我吧！	2000
106100307	100001	你有好好吃饭吗？等会儿如果饿了我们可没有东西给你吃。	3000
106100308	100001	我不会走的，你就放心去休息吧。	4000
106100309	100001	这种感觉有点无法形容，不过我知道这是美好的。	5000
106100310	100001	你永远是我鼓起勇气前行的力量。	6000
108100101	100001	没有永恒的信任，也没有永恒的背叛，不过是看伤得深不深罢了。	2000
108100102	100001	我对人类没什么好感……现在只是目的相同而已。	3000
108100103	100001	我会尽我所能的帮助你的。	4000
108100104	100001	还没有制定好作战计划吗？可不要太拖延了。	5000
108100105	100001	我不太擅长处理这种气氛……过来说说话吧。	6000
108100106	100001	武器也好，技能也好，自然是越熟练，越强大。	2000
108100107	100001	我会守着的，一旦有异常发生会通知你。	3000
108100108	100001	夜晚黑暗又漫长，我知道的。	4000
108100109	100001	你身上蕴含着超越规则的力量，非常强大。	5000
108100110	100001	别怕，我会保护好你的。	6000
108100301	100001	作战计划的制定，是成功的关键之一，你要学会好这项技能才行啊。	2000
108100302	100001	算了，就随你去吧。	3000
108100303	100001	至少夜晚的星空，还是很值得看的，前提是乌云都散开的话。	4000
108100304	100001	规矩是我定的，那自然也该由我来打破。	5000
108100305	100001	这样的套近乎对你有什么好处？	6000
108100306	100001	基地的事情你不用过分操心，我会一直关注着的。	2000
108100307	100001	是文件太多了吗？你好像很忙的样子。	3000
108100308	100001	我只担心你会不会被别人欺负了……	4000
108100309	100001	我必须承认，这样的关系我并不想破坏……	5000
108100310	100001	我不信任人类，却信任你，这从本质上来说就是个违背规则的事。	6000
