Id	Cvs[1]	Cvs[2]	Cvs[3]	CvContent[1]	CvContent[2]	CvContent[3]
102033	102033	202033	302033	接下来还会有更艰难的任务，您做得到吗？	接下来还会有更艰难的任务，您做得到吗？	接下来还会有更艰难的任务，您做得到吗？
102034	102034	202034	302034	我会成为您的利刃，请毫不犹豫地下达命令。	我会成为您的利刃，请毫不犹豫地下达命令。	我会成为您的利刃，请毫不犹豫地下达命令。
102035	102035	202035	302035	您是说……让我换一种说话的方式吗？	您是说……让我换一种说话的方式吗？	您是说……让我换一种说话的方式吗？
102036	102036	202036	302036	最近的任务比较辛苦……你……适应得过来吗？	最近的任务比较辛苦……你……适应得过来吗？	最近的任务比较辛苦……你……适应得过来吗？
102037	102037	202037	302037	想要休息的话，可以尽管去休息的。	想要休息的话，可以尽管去休息的。	想要休息的话，可以尽管去休息的。
102038	102038	202038	302038	我会让自己变得更强，所以请您不要勉强自己。	我会让自己变得更强，所以请您不要勉强自己。	我会让自己变得更强，所以请您不要勉强自己。
102039	102039	202039	302039	等到全部都结束的那天……我能见到你吗？	等到全部都结束的那天……我能见到你吗？	等到全部都结束的那天……我能见到你吗？
102040	102040	202040	302040	放心吧，一定，不会忘记的……	放心吧，一定，不会忘记的……	放心吧，一定，不会忘记的……
102041	102041	202041	302041	指挥官如此命令的话，那我就绝不会输。	指挥官如此命令的话，那我就绝不会输。	指挥官如此命令的话，那我就绝不会输。
102042	102042	202042	302042	我的意识海里，绽放出了一朵美丽的，红色的花。	我的意识海里，绽放出了一朵美丽的，红色的花。	我的意识海里，绽放出了一朵美丽的，红色的花。
102043	102043	202043	302043	只要有你在，无论是怎样的未来我都无所畏惧。	只要有你在，无论是怎样的未来我都无所畏惧。	只要有你在，无论是怎样的未来我都无所畏惧。
102044	102044	202044	302044	我尝试过想象没有你的世界……请你，一直都做我的指挥官。	我尝试过想象没有你的世界……请你，一直都做我的指挥官。	我尝试过想象没有你的世界……请你，一直都做我的指挥官。
102045	102045	202045	302045	需要进一步对指挥官熟悉起来，这对战斗有好处	需要进一步对指挥官熟悉起来，这对战斗有好处	需要进一步对指挥官熟悉起来，这对战斗有好处
102046	102046	202046	302046	嗯，这几天和指挥官接触还蛮多呢。	嗯，这几天和指挥官接触还蛮多呢。	嗯，这几天和指挥官接触还蛮多呢。
102047	102047	202047	302047	意识海似乎有种奇怪的变化……	意识海似乎有种奇怪的变化……	意识海似乎有种奇怪的变化……
102048	102048	202048	302048	这种感觉……是心跳吗？	这种感觉……是心跳吗？	这种感觉……是心跳吗？
102049	102049	202049	302049	好像对指挥官更加了解了	好像对指挥官更加了解了	好像对指挥官更加了解了
102050	102050	202050	302050	我很高兴。	我很高兴。	我很高兴。
102051	102051	202051	302051	指挥官是我们的指挥官真是太好了。	指挥官是我们的指挥官真是太好了。	指挥官是我们的指挥官真是太好了。
102052	102052	202052	302052	类之间的关系，会像你和我这样吗？	类之间的关系，会像你和我这样吗？	类之间的关系，会像你和我这样吗？
102053	102053	202053	302053	像我们这样……就是人类称呼为爱的吗？	像我们这样……就是人类称呼为爱的吗？	像我们这样……就是人类称呼为爱的吗？
102054	102054	202054	302054	如果我是人类，是不是能和你更加亲密呢？	如果我是人类，是不是能和你更加亲密呢？	如果我是人类，是不是能和你更加亲密呢？
102055	102055	202055	302055	希望指挥官能收下它。	希望指挥官能收下它。	希望指挥官能收下它。
102056	102056	202056	302056	这个您应该能用上。	这个您应该能用上。	这个您应该能用上。
102057	102057	202057	302057	看见它就想到了你……回过神，已经把它拿到你面前了……	看见它就想到了你……回过神，已经把它拿到你面前了……	看见它就想到了你……回过神，已经把它拿到你面前了……
102058	102058	202058	302058	这个……你喜欢吗？如果喜欢的话……就太好了……	这个……你喜欢吗？如果喜欢的话……就太好了……	这个……你喜欢吗？如果喜欢的话……就太好了……
102059	102059	202059	302059	指挥官，在忙吗？	指挥官，在忙吗？	指挥官，在忙吗？
102060	102060	202060	302060	指挥官，您还在吗？	指挥官，您还在吗？	指挥官，您还在吗？
102061	102061	202061	302061	指挥官，假如有空的话，要不要来做些什么？	指挥官，假如有空的话，要不要来做些什么？	指挥官，假如有空的话，要不要来做些什么？
102062	102062	202062	302062	就这样呆着也挺好，就这样，只有我们两个。	就这样呆着也挺好，就这样，只有我们两个。	就这样呆着也挺好，就这样，只有我们两个。
102063	102063	202063	302063	意识连接已经长达1小时，指挥官阁下需要休息一会儿吗？	意识连接已经长达1小时，指挥官阁下需要休息一会儿吗？	意识连接已经长达1小时，指挥官阁下需要休息一会儿吗？
102064	102064	202064	302064	意识连接时间不宜过长，请指挥官阁下注意休息。	意识连接时间不宜过长，请指挥官阁下注意休息。	意识连接时间不宜过长，请指挥官阁下注意休息。
102065	102065	202065	302065	意识连接太久会导致精神疲惫的，休息一下怎么样？	意识连接太久会导致精神疲惫的，休息一下怎么样？	意识连接太久会导致精神疲惫的，休息一下怎么样？
102066	102066	202066	302066	虽然我也想一直和你连接着，但是这对你来说伤害太大，休息一下吧？	虽然我也想一直和你连接着，但是这对你来说伤害太大，休息一下吧？	虽然我也想一直和你连接着，但是这对你来说伤害太大，休息一下吧？
102067	102067	202067	302067	今天也见面了，指挥官	今天也见面了，指挥官	今天也见面了，指挥官
102068	102068	202068	302068	请随时指示，长官。	请随时指示，长官。	请随时指示，长官。
102069	102069	202069	302069	露西亚随时听候您的调遣。	露西亚随时听候您的调遣。	露西亚随时听候您的调遣。
102070	102070	202070	302070	欢迎，我一直都在。	欢迎，我一直都在。	欢迎，我一直都在。
102071	102071	202071	302071	您结束其他地区的任务了吗？欢迎回来。	您结束其他地区的任务了吗？欢迎回来。	您结束其他地区的任务了吗？欢迎回来。
102072	102072	202072	302072	许久不见，需要我向您简述这段时间的基地状况吗？	许久不见，需要我向您简述这段时间的基地状况吗？	许久不见，需要我向您简述这段时间的基地状况吗？
102073	102073	202073	302073	你不在的时间，我一直都在想你。	你不在的时间，我一直都在想你。	你不在的时间，我一直都在想你。
102074	102074	202074	302074	我一直在等着你，还好你回来了。	我一直在等着你，还好你回来了。	我一直在等着你，还好你回来了。
102075	102075	202075	302075	这、这是什么新的训练？	这、这是什么新的训练？	这、这是什么新的训练？
102076	102076	202076	302076	是想锻炼我反应能力吗？	是想锻炼我反应能力吗？	是想锻炼我反应能力吗？
102077	102077	202077	302077	哎，我可不会摔倒的。	哎，我可不会摔倒的。	哎，我可不会摔倒的。
102078	102078	202078	302078	好了好了……	好了好了……	好了好了……
102079	102079	202079	302079	嗯？关节在不受控制……	嗯？关节在不受控制……	嗯？关节在不受控制……
102080	102080	202080	302080	这到底是……？	这到底是……？	这到底是……？
102081	102081	202081	302081	啊……你总是趁我发呆的时候吓唬我。	啊……你总是趁我发呆的时候吓唬我。	啊……你总是趁我发呆的时候吓唬我。
102082	102082	202082	302082	如果这是表达心意的方法，那我也想要戳一下你。	如果这是表达心意的方法，那我也想要戳一下你。	如果这是表达心意的方法，那我也想要戳一下你。
102083	102083	202083	302083	不愧是指挥官，今日的活跃值已经达到最高。	不愧是指挥官，今日的活跃值已经达到最高。	不愧是指挥官，今日的活跃值已经达到最高。
102084	102084	202084	302084	战斗结束，下一场战斗是什么？	战斗结束，下一场战斗是什么？	战斗结束，下一场战斗是什么？
102085	102085	202085	302085	辛苦了，接下来需要我出场吗？	辛苦了，接下来需要我出场吗？	辛苦了，接下来需要我出场吗？
102086	102086	202086	302086	露西亚……出击。	露西亚……出击。	露西亚……出击。
102087	102087	202087	302087	指挥官，现有的电量已经无法支撑一场战斗，请及时补充。	指挥官，现有的电量已经无法支撑一场战斗，请及时补充。	指挥官，现有的电量已经无法支撑一场战斗，请及时补充。
102088	102088	202088	302088	……早，请尽快出征。	……早，请尽快出征。	……早，请尽快出征。
102089	102089	202089	302089	适当的休息一下，下午可以更好的战斗。	适当的休息一下，下午可以更好的战斗。	适当的休息一下，下午可以更好的战斗。
102090	102090	202090	302090	如果睡不着，就继续去战斗吧。	如果睡不着，就继续去战斗吧。	如果睡不着，就继续去战斗吧。
102091	102091	202091	302091	没什么要紧事的话，可以出战了，指挥官。	没什么要紧事的话，可以出战了，指挥官。	没什么要紧事的话，可以出战了，指挥官。
102092	102092	202092	302092	不要偷懒，任务还没完成吧？	不要偷懒，任务还没完成吧？	不要偷懒，任务还没完成吧？
102093	102093	202093	302093	怎么到要战斗的时候，你就需要睡眠了呢？	怎么到要战斗的时候，你就需要睡眠了呢？	怎么到要战斗的时候，你就需要睡眠了呢？
102094	102094	202094	302094	把电力能源补充好，就开始新一轮的战斗吧。	把电力能源补充好，就开始新一轮的战斗吧。	把电力能源补充好，就开始新一轮的战斗吧。
102095	102095	202095	302095	斗？这不是我们唯一的存在意义吗？	斗？这不是我们唯一的存在意义吗？	斗？这不是我们唯一的存在意义吗？
102096	102096	202096	302096	只要我还没有宣告废弃，战场永远都是我最后的归宿。	只要我还没有宣告废弃，战场永远都是我最后的归宿。	只要我还没有宣告废弃，战场永远都是我最后的归宿。
102097	102097	202097	302097	我不会乱来，你别担心了。	我不会乱来，你别担心了。	我不会乱来，你别担心了。
102098	102098	202098	302098	比起我，你才是更容易逞强的人吧？	比起我，你才是更容易逞强的人吧？	比起我，你才是更容易逞强的人吧？
102099	102099	202099	302099	嗯，我们……彼此彼此。	嗯，我们……彼此彼此。	嗯，我们……彼此彼此。
102100	102100	202100	302100	有你在，我不会有事的。	有你在，我不会有事的。	有你在，我不会有事的。
102101	102101	202101	302101	放心吧，战场上我会保护你的。	放心吧，战场上我会保护你的。	放心吧，战场上我会保护你的。
102102	102102	202102	302102	你的命令就是我的信仰，我不会让信仰倒下的！	你的命令就是我的信仰，我不会让信仰倒下的！	你的命令就是我的信仰，我不会让信仰倒下的！
102103	102103	202103	302103	我只为你的存在而战斗。	我只为你的存在而战斗。	我只为你的存在而战斗。
102104	102104	202104	302104	我们的生命联系在了一起，我不会放弃你的，你呢？	我们的生命联系在了一起，我不会放弃你的，你呢？	我们的生命联系在了一起，我不会放弃你的，你呢？
102105	102105	202105	302105	即使化身修罗，我也要守护你。	即使化身修罗，我也要守护你。	即使化身修罗，我也要守护你。
102106	102106	202106	302106	其实并没有那么想和你搞好关系……	其实并没有那么想和你搞好关系……	其实并没有那么想和你搞好关系……
102107	102107	202107	302107	嗯……	嗯……	嗯……
102108	102108	202108	302108	你贴的太近了。	你贴的太近了。	你贴的太近了。
102109	102109	202109	302109	嗯？我并没有什么情绪波动。	嗯？我并没有什么情绪波动。	嗯？我并没有什么情绪波动。
102110	102110	202110	302110	你……想要我有什么反应？	你……想要我有什么反应？	你……想要我有什么反应？
102111	102111	202111	302111	是指挥官的话……就没有问题。	是指挥官的话……就没有问题。	是指挥官的话……就没有问题。
102112	102112	202112	302112	我只在知识理论上……了解过这些……	我只在知识理论上……了解过这些……	我只在知识理论上……了解过这些……
102113	102113	202113	302113	我的意识海似乎不排斥这样的感情。	我的意识海似乎不排斥这样的感情。	我的意识海似乎不排斥这样的感情。
102114	102114	202114	302114	这好像是可以包容一切的力量。	这好像是可以包容一切的力量。	这好像是可以包容一切的力量。
102115	102115	202115	302115	你总能给予我无畏一切黑暗的力量。	你总能给予我无畏一切黑暗的力量。	你总能给予我无畏一切黑暗的力量。
102116	102116	202116	302116	如果可以，我甚至想永远地把你留在我的意识海里……	如果可以，我甚至想永远地把你留在我的意识海里……	如果可以，我甚至想永远地把你留在我的意识海里……
102117	102117	202117	302117	我只是随手带了回来，你喜欢的话就给你吧。	我只是随手带了回来，你喜欢的话就给你吧。	我只是随手带了回来，你喜欢的话就给你吧。
102118	102118	202118	302118	我还不知道这种东西也可以当礼物，你想要的话就拿去吧。	我还不知道这种东西也可以当礼物，你想要的话就拿去吧。	我还不知道这种东西也可以当礼物，你想要的话就拿去吧。
102119	102119	202119	302119	听说这个能当纪念品，我就给你带回来了。	听说这个能当纪念品，我就给你带回来了。	听说这个能当纪念品，我就给你带回来了。
102120	102120	202120	302120	你会珍惜的，对吗？	你会珍惜的，对吗？	你会珍惜的，对吗？
102121	102121	202121	302121	工作要认真，指挥官，	工作要认真，指挥官，	工作要认真，指挥官，
102122	102122	202122	302122	是被伊甸园那群人叫走了吗？	是被伊甸园那群人叫走了吗？	是被伊甸园那群人叫走了吗？
102123	102123	202123	302123	怎么连你也不理我……	怎么连你也不理我……	怎么连你也不理我……
102124	102124	202124	302124	看看我啊……	看看我啊……	看看我啊……
102125	102125	202125	302125	连接这么长时间也不去休息，是不想要人类的身躯了吗？	连接这么长时间也不去休息，是不想要人类的身躯了吗？	连接这么长时间也不去休息，是不想要人类的身躯了吗？
102126	102126	202126	302126	你又不像我们，别总拿自己身体开玩笑。	你又不像我们，别总拿自己身体开玩笑。	你又不像我们，别总拿自己身体开玩笑。
102127	102127	202127	302127	我不准你再连接这么长时间了，对身体损伤很大，不知道吗？	我不准你再连接这么长时间了，对身体损伤很大，不知道吗？	我不准你再连接这么长时间了，对身体损伤很大，不知道吗？
102128	102128	202128	302128	你要是因为这个受伤了……我该怎么办？	你要是因为这个受伤了……我该怎么办？	你要是因为这个受伤了……我该怎么办？
102129	102129	202129	302129	您好，露西亚随时准备作战。	您好，露西亚随时准备作战。	您好，露西亚随时准备作战。
102130	102130	202130	302130	您来了，有需要的地方请随时找我	您来了，有需要的地方请随时找我	您来了，有需要的地方请随时找我
102131	102131	202131	302131	鲜少在这个时间见面呢，指挥官	鲜少在这个时间见面呢，指挥官	鲜少在这个时间见面呢，指挥官
102132	102132	202132	302132	今天也能见到你，真是太好了……	今天也能见到你，真是太好了……	今天也能见到你，真是太好了……
102133	102133	202133	302133	原来是你回来了。	原来是你回来了。	原来是你回来了。
102134	102134	202134	302134	你到还知道回来。	你到还知道回来。	你到还知道回来。
102135	102135	202135	302135	你走了很久……	你走了很久……	你走了很久……
102136	102136	202136	302136	你还愿意回来就好……我一直在等你。	你还愿意回来就好……我一直在等你。	你还愿意回来就好……我一直在等你。
102151	102151	202151	302151	红莲已然盛放	红莲已然盛放	红莲已然盛放
102152	102152	202152	302152	剑中的火焰，会烧尽一切障碍。	剑中的火焰，会烧尽一切障碍。	剑中的火焰，会烧尽一切障碍。
102153	102153	202153	302153	我不会手软的。	我不会手软的。	我不会手软的。
102154	102154	202154	302154	让燃烧的红莲，了结一切！	让燃烧的红莲，了结一切！	让燃烧的红莲，了结一切！
102155	102155	202155	302155	呃…不要紧！	呃…不要紧！	呃…不要紧！
102156	102156	202156	302156	有点糟糕……	有点糟糕……	有点糟糕……
102157	102157	202157	302157	我们……还会再见的。	我们……还会再见的。	我们……还会再见的。
102158	102158	202158	302158	敌人在哪里？	敌人在哪里？	敌人在哪里？
102159	102159	202159	302159	露西亚，出击！	露西亚，出击！	露西亚，出击！
102160	102160	202160	302160	红莲已然盛放	红莲已然盛放	红莲已然盛放
102161	102161	202161	302161	剑中的火焰，会烧尽一切障碍。	剑中的火焰，会烧尽一切障碍。	剑中的火焰，会烧尽一切障碍。
102162	102162	202162	302162	我不会手软的。	我不会手软的。	我不会手软的。
102163	102163	202163	302163	让燃烧的红莲，了结一切！	让燃烧的红莲，了结一切！	让燃烧的红莲，了结一切！
102164	102164	202164	302164	呃…不要紧！	呃…不要紧！	呃…不要紧！
102165	102165	202165	302165	有点糟糕……	有点糟糕……	有点糟糕……
102166	102166	202166	302166	我们……还会再见的。	我们……还会再见的。	我们……还会再见的。
102167	102167	202167	302167	敌人在哪里？	敌人在哪里？	敌人在哪里？
102168	102168	202168	302168	露西亚，出击！	露西亚，出击！	露西亚，出击！
102169	102169	202169	302169	战斗结束，下一场战斗是什么？	战斗结束，下一场战斗是什么？	战斗结束，下一场战斗是什么？
102137	102137	202137	302137	已确认，战斗力提升。	已确认，战斗力提升。	已确认，战斗力提升。
102138	102138	202138	302138	这样，就能更好的执行任务了……	这样，就能更好的执行任务了……	这样，就能更好的执行任务了……
102139	102139	202139	302139	获得了这份力量，遇见任何敌人都能打倒吧。	获得了这份力量，遇见任何敌人都能打倒吧。	获得了这份力量，遇见任何敌人都能打倒吧。
102140	102140	202140	302140	一定会在战场上发挥作用的，谢谢你，指挥官。	一定会在战场上发挥作用的，谢谢你，指挥官。	一定会在战场上发挥作用的，谢谢你，指挥官。
102141	102141	202141	302141	我会好好活用这个装备的。	我会好好活用这个装备的。	我会好好活用这个装备的。
103001	103001	203001	303001	指挥官……我是丽芙……一定会帮上忙的。	指挥官……我是丽芙……一定会帮上忙的。	指挥官……我是丽芙……一定会帮上忙的。
103002	103002	203002	303002	好的。	好的。	好的。
103003	103003	203003	303003	啊	啊	啊
103004	103004	203004	303004	哼哼	哼哼	哼哼
103005	103005	203005	303005	不对！	不对！	不对！
103006	103006	203006	303006	我会继续努力的。	我会继续努力的。	我会继续努力的。
103007	103007	203007	303007	虽然不及露西亚他们，但我会追上去的。	虽然不及露西亚他们，但我会追上去的。	虽然不及露西亚他们，但我会追上去的。
103008	103008	203008	303008	这样的话……我也稍微变强了？	这样的话……我也稍微变强了？	这样的话……我也稍微变强了？
103009	103009	203009	303009	战斗能力提高了……指挥官。 	战斗能力提高了……指挥官。 	战斗能力提高了……指挥官。 
103010	103010	203010	303010	这个真的要给我吗…既然您这么说的话，谢谢。	这个真的要给我吗…既然您这么说的话，谢谢。	这个真的要给我吗…既然您这么说的话，谢谢。
103011	103011	203011	303011	您有一封新的邮件。	您有一封新的邮件。	您有一封新的邮件。
103012	103012	203012	303012	我会加油的！	我会加油的！	我会加油的！
103013	103013	203013	303013	让我担任队长吗？我会尽全力的。	让我担任队长吗？我会尽全力的。	让我担任队长吗？我会尽全力的。
103014	103014	203014	303014	指挥官，任务完成后请记得领取奖励	指挥官，任务完成后请记得领取奖励	指挥官，任务完成后请记得领取奖励
103015	103015	203015	303015	任务完成，奖励已经发送，请查收。	任务完成，奖励已经发送，请查收。	任务完成，奖励已经发送，请查收。
103016	103016	203016	303016	指挥官早安，请按时进食，否则会出现低血糖等症状。	指挥官早安，请按时进食，否则会出现低血糖等症状。	指挥官早安，请按时进食，否则会出现低血糖等症状。
103017	103017	203017	303017	根据我的分析，您在12点至1点30分左右，需要一段时间的休息。	根据我的分析，您在12点至1点30分左右，需要一段时间的休息。	根据我的分析，您在12点至1点30分左右，需要一段时间的休息。
103018	103018	203018	303018	请您放心去休息，我会辅佐露西亚守护好基地。	请您放心去休息，我会辅佐露西亚守护好基地。	请您放心去休息，我会辅佐露西亚守护好基地。
103019	103019	203019	303019	对于基地有任何不明白的地方，可以向我咨询。	对于基地有任何不明白的地方，可以向我咨询。	对于基地有任何不明白的地方，可以向我咨询。
103020	103020	203020	303020	上次的战斗数据分析我从里先生那儿取来了，您过目一下。	上次的战斗数据分析我从里先生那儿取来了，您过目一下。	上次的战斗数据分析我从里先生那儿取来了，您过目一下。
103021	103021	203021	303021	里先生偶尔会盯着我看……是不是我哪里做错了什么……	里先生偶尔会盯着我看……是不是我哪里做错了什么……	里先生偶尔会盯着我看……是不是我哪里做错了什么……
103022	103022	203022	303022	我虽然战斗力不如其他人，但是我自己的工作一定会努力做好的。	我虽然战斗力不如其他人，但是我自己的工作一定会努力做好的。	我虽然战斗力不如其他人，但是我自己的工作一定会努力做好的。
103023	103023	203023	303023	您是不是又熬夜看文件了？丽芙说过这样不太好的。	您是不是又熬夜看文件了？丽芙说过这样不太好的。	您是不是又熬夜看文件了？丽芙说过这样不太好的。
103024	103024	203024	303024	露西亚是个很强大的构造体，您……也是很强大的人类。	露西亚是个很强大的构造体，您……也是很强大的人类。	露西亚是个很强大的构造体，您……也是很强大的人类。
103025	103025	203025	303025	我要什么时候才能成为和你们一样强大的存在呢……	我要什么时候才能成为和你们一样强大的存在呢……	我要什么时候才能成为和你们一样强大的存在呢……
103026	103026	203026	303026	您答应过我，会早些休息的，有做到吗？	您答应过我，会早些休息的，有做到吗？	您答应过我，会早些休息的，有做到吗？
103027	103027	203027	303027	今天的作战也要辛苦您了，如果我能帮上您，是丽芙的荣幸。	今天的作战也要辛苦您了，如果我能帮上您，是丽芙的荣幸。	今天的作战也要辛苦您了，如果我能帮上您，是丽芙的荣幸。
103028	103028	203028	303028	这里有丽芙，您就放心吧，虽然我没有厉害到能独当一面，但是我也会加油的。	这里有丽芙，您就放心吧，虽然我没有厉害到能独当一面，但是我也会加油的。	这里有丽芙，您就放心吧，虽然我没有厉害到能独当一面，但是我也会加油的。
103029	103029	203029	303029	人类还在地球的时候，地球是什么样的呢？	人类还在地球的时候，地球是什么样的呢？	人类还在地球的时候，地球是什么样的呢？
103030	103030	203030	303030	丽芙最近应该有帮上忙吧？我有很努力的在训练自己的战斗呢。	丽芙最近应该有帮上忙吧？我有很努力的在训练自己的战斗呢。	丽芙最近应该有帮上忙吧？我有很努力的在训练自己的战斗呢。
103031	103031	203031	303031	嗯？你是怕黑吗？那……丽芙再陪你一会儿吧！	嗯？你是怕黑吗？那……丽芙再陪你一会儿吧！	嗯？你是怕黑吗？那……丽芙再陪你一会儿吧！
103032	103032	203032	303032	如果可以，如果可能，丽芙希望有一天能陪着你看日出日落。	如果可以，如果可能，丽芙希望有一天能陪着你看日出日落。	如果可以，如果可能，丽芙希望有一天能陪着你看日出日落。
103033	103033	203033	303033	和你的相遇，是最幸运的事。	和你的相遇，是最幸运的事。	和你的相遇，是最幸运的事。
103034	103034	203034	303034	和指挥官在一起的记忆，我会好好记录下来的。	和指挥官在一起的记忆，我会好好记录下来的。	和指挥官在一起的记忆，我会好好记录下来的。
103035	103035	203035	303035	您身上还有很多值得我分析的地方	您身上还有很多值得我分析的地方	您身上还有很多值得我分析的地方
103036	103036	203036	303036	关于您的资料丰富了起来	关于您的资料丰富了起来	关于您的资料丰富了起来
103037	103037	203037	303037	指挥官可以再多告诉我一些关于您的事情吗？	指挥官可以再多告诉我一些关于您的事情吗？	指挥官可以再多告诉我一些关于您的事情吗？
103038	103038	203038	303038	如果是和指挥官的话，亲密一点好像也是没问题的。	如果是和指挥官的话，亲密一点好像也是没问题的。	如果是和指挥官的话，亲密一点好像也是没问题的。
103039	103039	203039	303039	很高兴能和指挥官这样亲密。	很高兴能和指挥官这样亲密。	很高兴能和指挥官这样亲密。
103040	103040	203040	303040	喜欢……不……什么都没有。	喜欢……不……什么都没有。	喜欢……不……什么都没有。
103041	103041	203041	303041	听见指挥官的声音我就会觉得安心。	听见指挥官的声音我就会觉得安心。	听见指挥官的声音我就会觉得安心。
103042	103042	203042	303042	我希望在不久的将来，我能真实的触碰到你……	我希望在不久的将来，我能真实的触碰到你……	我希望在不久的将来，我能真实的触碰到你……
103043	103043	203043	303043	根据我的数据分析，我准备了这个，您会喜欢吗？	根据我的数据分析，我准备了这个，您会喜欢吗？	根据我的数据分析，我准备了这个，您会喜欢吗？
103044	103044	203044	303044	露西亚说，送这个给你的话你会很开心。	露西亚说，送这个给你的话你会很开心。	露西亚说，送这个给你的话你会很开心。
103045	103045	203045	303045	我的数据记忆了你喜欢这个。	我的数据记忆了你喜欢这个。	我的数据记忆了你喜欢这个。
103046	103046	203046	303046	这个送给你，你可以对我笑一下吗？	这个送给你，你可以对我笑一下吗？	这个送给你，你可以对我笑一下吗？
